# Blacklist IP Spesifik - IP dari domain blacklist.txt
# Last updated: 2025-12-05 22:34:11 UTC
# Total entries: 280
# Format: <ip> # <source>
#
# PRIORITAS: Level 2 - Blacklist IP Spesifik
# IP dengan marker 'Berasal dari IP domain' akan di-update otomatis
# IP manual (tanpa marker) tidak akan dihapus otomatis
#
172.67.152.35 # Berasal dari IP domain galaxy88newgo7.lol (URLhaus Malware Domains)
172.67.152.93 # Berasal dari IP domain api.loadcrate.icu (URLhaus Malware Domains)
172.67.159.237 # Berasal dari IP domain livelyfeather.ydqbg11598.workers.dev (URLhaus Malware Domains)
172.67.159.66 # Berasal dari IP domain zalypagylivera.disppomeverp1976.workers.dev (URLhaus Malware Domains)
172.67.161.137 # Berasal dari IP domain tmpfiles.org (URLhaus Malware Domains)
172.67.161.42 # Berasal dari IP domain broken-dust-20eb.bnxaz24270.workers.dev (URLhaus Malware Domains)
172.67.165.205 # Berasal dari IP domain sapu4dw.cfd (URLhaus Malware Domains)
172.67.171.154 # Berasal dari IP domain sapu4d-x.com (URLhaus Malware Domains)
172.67.171.170 # Berasal dari IP domain blenderxnew.tohocaper1979.workers.dev (URLhaus Malware Domains)
172.67.174.118 # Berasal dari IP domain skybet138-a5.site (URLhaus Malware Domains)
172.67.178.70 # Berasal dari IP domain addons1.poupathockm2ist10012.workers.dev (URLhaus Malware Domains)
172.67.183.161 # Berasal dari IP domain kybet138-a2.site (URLhaus Malware Domains)
172.67.194.110 # Berasal dari IP domain hst.sh (URLhaus Malware Domains)
172.67.194.169 # Berasal dari IP domain stukitiok-uzb.sbs (URLhaus Malware Domains)
172.67.199.189 # Berasal dari IP domain bodbhs.sbs (URLhaus Malware Domains)
172.67.207.251 # Berasal dari IP domain f-tigers-wheel-apk-br.pages.dev (URLhaus Malware Domains)
172.67.207.70 # Berasal dari IP domain zalukina.avisregde1988.workers.dev (URLhaus Malware Domains)
172.67.210.34 # Berasal dari IP domain galaxy88newarm7.lol (URLhaus Malware Domains)
172.67.212.9 # Berasal dari IP domain zovwowgyl.spoticualpe1970.workers.dev (URLhaus Malware Domains)
172.67.214.88 # Berasal dari IP domain zorokun.xyz (Manual Input)
172.67.218.115 # Berasal dari IP domain skybet138-a3.site (URLhaus Malware Domains)
172.67.219.225 # Berasal dari IP domain 8sapu4d.com (URLhaus Malware Domains)
172.67.220.169 # Berasal dari IP domain skybet138-a4.site (URLhaus Malware Domains)
172.67.72.163 # Berasal dari IP domain file.garden (URLhaus Malware Domains)
18.244.51.127 # Berasal dari IP domain www.cgtrader.com (URLhaus Malware Domains)
18.244.51.26 # Berasal dari IP domain www.cgtrader.com (URLhaus Malware Domains)
18.244.51.29 # Berasal dari IP domain www.cgtrader.com (URLhaus Malware Domains)
18.244.51.47 # Berasal dari IP domain www.cgtrader.com (URLhaus Malware Domains)
182.23.79.195 # Berasal dari IP domain marimain.xyz (URLhaus Malware Domains)
185.124.137.189 # Berasal dari IP domain tema-com-ua-568517.hostingersite.com (URLhaus Malware Domains)
185.199.108.153 # Berasal dari IP domain gsocket.io (URLhaus Malware Domains)
187.33.241.49 # Berasal dari IP domain alineeleuterio.com.br (URLhaus Malware Domains)
195.154.218.45 # Berasal dari IP domain file-eu-par-5.gofile.io (URLhaus Malware Domains)
203.10.97.133 # Berasal dari IP domain file-na-lax-1.gofile.io (URLhaus Malware Domains)
204.155.145.48 # Berasal dari IP domain dc534.4sync.com (URLhaus Malware Domains)
204.62.247.175 # Berasal dari IP domain dn710203.ca.archive.org (URLhaus Malware Domains)
204.62.247.75 # Berasal dari IP domain dn721903.ca.archive.org (URLhaus Malware Domains)
207.241.227.99 # Berasal dari IP domain ia601709.us.archive.org (URLhaus Malware Domains)
207.241.228.149 # Berasal dari IP domain ia801409.us.archive.org (URLhaus Malware Domains)
207.241.233.34 # Berasal dari IP domain ia801704.us.archive.org (URLhaus Malware Domains)
207.241.234.119 # Berasal dari IP domain ia903209.us.archive.org (URLhaus Malware Domains)
3.5.128.158 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
